#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Mon Mar 30 16:19:31 2015

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       TISC_map.ncd
#OUTPUT FILE:      TISC_pad.csv
#PART TYPE:        xc6slx9
#SPEED GRADE:      -3
#PACKAGE:          tqg144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P1,EN_LOCAL_CLK,IOB,IO_L83N_VREF_3,OUTPUT,LVCMOS33,3,12,SLOW,,,,LOCATED,NO,NONE,
P2,SYSCLK_SEL,IOB,IO_L83P_3,OUTPUT,LVCMOS33,3,12,SLOW,,,,LOCATED,NO,NONE,
P3,,,GND,,,,,,,,,,,,
P4,,,VCCO_3,,,3,,,,,3.30,,,,
P5,PROGRAM_B<3>,IOB,IO_L52N_3,TRISTATE,LVCMOS33,3,12,SLOW,PULLUP,,,LOCATED,NO,NONE,
P6,PROGRAM_B<2>,IOB,IO_L52P_3,TRISTATE,LVCMOS33,3,12,SLOW,PULLUP,,,LOCATED,NO,NONE,
P7,PROGRAM_B<1>,IOB,IO_L51N_3,TRISTATE,LVCMOS33,3,12,SLOW,PULLUP,,,LOCATED,NO,NONE,
P8,PROGRAM_B<0>,IOB,IO_L51P_3,TRISTATE,LVCMOS33,3,12,SLOW,PULLUP,,,LOCATED,NO,NONE,
P9,MON<1>,IOB,IO_L50N_3,OUTPUT,LVCMOS33,3,12,SLOW,,,,LOCATED,NO,NONE,
P10,,IOBM,IO_L50P_3,UNUSED,,3,,,,,,,,,
P11,pci_rst,IOB,IO_L49N_3,INPUT,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
P12,pci_cbe<3>,IOB,IO_L49P_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
P13,,,GND,,,,,,,,,,,,
P14,pci_cbe<2>,IOB,IO_L44N_GCLK20_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,YES,NONE,
P15,pci_cbe<1>,IOB,IO_L44P_GCLK21_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
P16,pci_cbe<0>,IOB,IO_L43N_GCLK22_IRDY2_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,NO,NONE,
P17,pci_ad<31>,IOB,IO_L43P_GCLK23_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,YES,NONE,
P18,,,VCCO_3,,,3,,,,,3.30,,,,
P19,,,VCCINT,,,,,,,,1.2,,,,
P20,,,VCCAUX,,,,,,,,2.5,,,,
P21,pci_ad<30>,IOB,IO_L42N_GCLK24_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,YES,NONE,
P22,pci_ad<29>,IOB,IO_L42P_GCLK25_TRDY2_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,YES,NONE,
P23,pci_ad<28>,IOB,IO_L41N_GCLK26_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,YES,NONE,
P24,pci_ad<27>,IOB,IO_L41P_GCLK27_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,YES,NONE,
P25,,,GND,,,,,,,,,,,,
P26,pci_ad<26>,IOB,IO_L37N_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,YES,NONE,
P27,pci_ad<25>,IOB,IO_L37P_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,YES,NONE,
P28,,,VCCINT,,,,,,,,1.2,,,,
P29,pci_ad<24>,IOB,IO_L36N_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,YES,NONE,
P30,pci_ad<23>,IOB,IO_L36P_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,YES,NONE,
P31,,,VCCO_3,,,3,,,,,3.30,,,,
P32,pci_ad<22>,IOB,IO_L2N_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,YES,NONE,
P33,pci_ad<21>,IOB,IO_L2P_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,YES,NONE,
P34,pci_ad<20>,IOB,IO_L1N_VREF_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,YES,NONE,
P35,pci_ad<19>,IOB,IO_L1P_3,BIDIR,PCI33_3,3,,,,NONE,,LOCATED,YES,NONE,
P36,,,VCCAUX,,,,,,,,2.5,,,,
P37,,,PROGRAM_B_2,,,,,,,,,,,,
P38,CS_B,IOB,IO_L65N_CSO_B_2,OUTPUT,LVCMOS33,2,12,SLOW,,,,LOCATED,NO,NONE,
P39,,IOBM,IO_L65P_INIT_B_2,UNUSED,,2,,,,,,,,,
P40,pci_ad<18>,IOB,IO_L64N_D9_2,BIDIR,PCI33_3,2,,,,NONE,,LOCATED,YES,NONE,
P41,pci_trdy,IOB,IO_L64P_D8_2,BIDIR,PCI33_3,2,,,,NONE,,LOCATED,YES,NONE,
P42,,,VCCO_2,,,2,,,,,3.30,,,,
P43,pci_irdy,IOB,IO_L62N_D6_2,INPUT,PCI33_3,2,,,,NONE,,LOCATED,YES,NONE,
P44,pci_gnt,IOB,IO_L62P_D5_2,INPUT,PCI33_3,2,,,,NONE,,LOCATED,YES,NONE,
P45,pci_req,IOB,IO_L49N_D4_2,TRISTATE,PCI33_3,2,,,,,,LOCATED,YES,NONE,
P46,pci_stop,IOB,IO_L49P_D3_2,BIDIR,PCI33_3,2,,,,NONE,,LOCATED,YES,NONE,
P47,pci_frame,IOB,IO_L48N_RDWR_B_VREF_2,INPUT,PCI33_3,2,,,,NONE,,LOCATED,YES,NONE,
P48,pci_idsel,IOB,IO_L48P_D7_2,INPUT,PCI33_3,2,,,,NONE,,LOCATED,YES,NONE,
P49,,,GND,,,,,,,,,,,,
P50,pci_devsel,IOB,IO_L31N_GCLK30_D15_2,TRISTATE,PCI33_3,2,,,,,,LOCATED,YES,NONE,
P51,pci_par,IOB,IO_L31P_GCLK31_D14_2,BIDIR,PCI33_3,2,,,,NONE,,LOCATED,YES,NONE,
P52,,,VCCINT,,,,,,,,1.2,,,,
P53,,,VCCAUX,,,,,,,,2.5,,,,
P54,,,GND,,,,,,,,,,,,
P55,pci_perr,IOB,IO_L30N_GCLK0_USERCCLK_2,TRISTATE,PCI33_3,2,,,,,,LOCATED,YES,NONE,
P56,pci_serr,IOB,IO_L30P_GCLK1_D13_2,TRISTATE,PCI33_3,2,,,,,,LOCATED,YES,NONE,
